question,option,answer_key,confidence,attendu
LES DIFFICULTEES DES CAVITEES A ACCES VESTIBULO-LINGUALE SONT :,"A. Le diagnostic
B. L' accès
C. Le Contrôle visuel quasi-impossible
D. La réalisation de l’obturation (contrôle des excès, manques)",,,"A,B,C,D"
"AU SUJET DES ETAPES DU COLLAGE, QUELLE(S) SONT LA (LES) PROPOSITION(S) EXTACTE(S)?","A. Le collage sur dentine sèche est préconisé pour les Systèmes Adhésifs à solvant acétone
B. L’utilisation des brossettes permet d’améliorer l’homogénéité de la couche adhésive
C. Un Système Adhésif à solvant eau doit être brossé lors de son application
D. Lors de l’utilisation d’un SAM1, préférer l’application avec la lumière du scialytique",,,"B,C"
INDIQUER LES REPONSES CORRECTES :,"A. Le site de collage doit être préservé de la contamination par la salive, par le fluide gingival ou le sang.
B. Lors du collage, si contamination, il faut recommencer le conditionnement : mordançage (5 à 15 secondes) + primer + adhésif.
C. L’étape considérée comme la plus critique du protocole de collage avec un M&R est l’étape de rinçage.
D. Lors de l’adhésion à la dentine, la formation d’une couche hybride de 50µ est recherchée.",,,"A,B"
A PROPOS DE LA MISE EN PLACE DU CHAMP OPERATOIRE EN DENTISTERIE RESTAURATRICE :,"A. Les perforations réalisées sur la feuille de digue doivent être les plus larges possibles pour faciliter sa mise en place
B. L'inversion de la digue consiste à invaginer la digue au niveau cervical des dents
C. Quatre techniques différentes permettent de mettre en place la digue dentaire
D. Pour passer les points de contact, il faut utiliser un morceau de Wedjet",,,"B,C"
LORS DE LA REALISATION D’UNE RESTAURATION AU COMPOSITE IL EST NECESSAIRE :,"A. De placer un champ opératoire
B. De conditionner les tissus dentaires
C. De ne pas mordancer l’émail
D. De polir la restauration dans une séance ultérieure",,,"A,B"
"LORS DE LA MISE EN OEUVRE D'UN COMPOSITE, IL FAUT AU PREALABLE :","A. réaliser une anesthésie loco-régionale automatiquement.
B. mettre en œuvre le système adhésif
C. choisir la/les teinte(s).
D. mettre en place le champ opératoire.",,,"B,C,D"
"A PROPOS DES INSTRUMENTS DE MISE EN FORME, QUELLE(S) SONT LA (LES) PROPOSITION(S) EXTACTE(S)?","A. Le contre-angle bague verte est un contre-angle réducteur
B. Le contre-angle bague rouge est un contre-angle amplificateur
C. Le contre-angle bague verte est un contre-angle neutre
D. Le contre-angle bague rouge est un contre-angle neutre",,,"A,B"
" A PROPOS DES INSTRUMENTS DE MISE EN FORME, QUELLE(S) SONT LA (LES) PROPOSITION(S) EXTACTE(S)?","A. La turbine tourne à 40 000 tours/minute
B. La turbine tourne à 200 000 tours/minute
C. La turbine fonctionne à air comprimé
D. La turbine peut servir à la dépose de matériaux",,,"B,C,D"
"A PROPOS DES INSTRUMENTS DE MISE EN FORME, QUELLE(S) SONT LA (LES) PROPOSITION(S) EXTACTE(S)?","A. Les fraises pour contre-angle présentent une encoche au bout du mandrin
B. les fraises diamantées servent au curetage de la dentine cariée
C. les fraises en carbure de tungstène sont utilisées pour la finition des obturations
D. les fraises diamantées présentent différentes granulométries",,,"A,C,D"
"A PROPOS DES INSTRUMENTS DE MISE EN FORME, QUELLE(S) SONT LA (LES) PROPOSITION(S) EXTACTE(S)?","A. l'excavateur permet de réaliser une éviction carieuse manuelle
B. il existe différentes formes de fraises diamantées utilisées en odontologie conservatrice
C. pour la finition, il existe des cupules en silicone utilisées avec un contre angle bague verte
D. pour la finition, il existe des cupules en silicone utilisées avec un contre-angle bague bleue",,,"A,B,D"
"QRM C39: A PROPOS DU CHAMP OPERATOIRE , QUELLE(S) SONT LA (LES) PROPOSITION(S) EXTACTE(S)?","A. Il facilite l'acte opératoire
B. Il isole l'espace opératoire vis-à-vis des fluides oraux
C. Il isole la cavité buccale vis-à-vis des agents caustiques, toxiques ou allergisants
D. Il améliore la visibilité au niveau de la dent traitée en dégageant le champ visuel",,,"A,B,C,D"
"AU SUJET DU CHAMP OPERATOIRE (OU DIGUE), QUELLE(S) SONT LA (LES) PROPOSITION(S) EXTACTE(S)?","A. participe à l'asepsie du site opératoire
B. présente un intérêt ergonomique
C. est un dispositif qui a été inventé les années 1980
D. permet d'effectuer des actes de dentisterie restauratrice dans des conditions hygrométriques optimales",,,"A,B,D"
"LORS DES SOINS, QUELLE(S) SONT LA (LES) PROPOSITION(S) EXTACTE(S)?","A. Penser à travailler sous spray
B. Préférer les unidoses
C. Au cours du collage, une contamination salivaire entre deux couches de composite n’a pas de conséquence sur la pérennité de notre obturation
D. La digue ne doit pas être utilisée si le patient est allergique au latex : il vaut mieux compromettre le collage que prendre un risque allergique",,,"A,B"
"LORS D'UNE EVICTION CARIEUSE, QUELLE(S) SONT LA (LES) PROPOSITION(S) EXTACTE(S)?","A. Il est préférable de placer le champ opératoire à la fin de l’éviction carieuse, pour assurer un bon collage des matériaux de restauration que je vais utiliser
B. Je peux décontaminer ma cavité en fin d’éviction avec de la chlorhexidine aqueuse
C. Je peux décontaminer ma cavité en fin d’éviction avec de la chlorhexidine alcoolique
D. Je place le champ opératoire avant de réaliser l’éviction carieuse",,,"B,C"
"A PROPOS DES CLASSIFICATIONS DE LESIONS CARIEUSES, QUELLE(S) SONT LA (LES) PROPOSITION(S) EXTACTE(S)?","A. les classifications Black et Si/Sta permettent d'orienter la prise de décision thérapeutique
B. les classifications Si/Sta et ICDAS permettent d'orienter la prise de décision thérapeutique
C. les classifications de Black et ICDAS permettent d'orienter la prise de décision thérapeutique
D. les classifications de Black, Si/Sta et ICDAS permettent d'orienter la prise de décision thérapeutique",,,B
"AU SUJET DU TRAITEMENT CURATIF EN OCE, QUELLE(S) SONT LA (LES) PROPOSITION(S) EXTACTE(S)?","A. Traitement intéressant exclusivement la surface d’une lésion carieuse sans retrait de tissus dentaires
B. Traitement orienté sur la préservation maximale des structures saines de la dent
C. Traitement nécessitant le retrait de tissus dentaires sains pour être conduit correctement
D. Traitement orienté sur la préservation maximale des structures pathologiques de la dent",,,C
"CONCERNANT LE CHOIX DES MATERIAUX, QUELLE(S) SONT LA (LES) PROPOSITION(S) EXTACTE(S)?","A. Lorsque le patient présente un risque carieux sévère, une phase de traitement des lésions avec obturation au CVI est indiquée
B. Chez le jeune présentant une lésion carieuse sur une 6 maxillaire de volume importante à proximité pulpaire, les silicates de calcium sont déconseillés
C. Les ciments verres ionomères haute viscosité sont indiqués dans le cas de restaurations de site 1
D. Les composites microhybrides sont contre-indiqués en antérieur.",,,"A,C"
INDIQUER LA REPONSE CORRECTE :,"A. En cas de lésion abrasive, le CVI est le matériau adapté.
B. En cas de lésion cervicale d’usure, je privilégie le CVI car le champ opératoire est difficile à placer.
C. En cas de lésion carieuse cervicale, je privilégie le CVI.
D. En cas de restauration occlusale avec contacts occlusaux avec l’arcade antagoniste, je privilégie le CVI de façon générale.",,,C
UN PATIENT PRESENTE UNE OBTURATION EN AMALGAME MOD VOLUMINEUSE ET DEFECTUEUSE SUR UNE 26 AVEC RECOUVREMENT DE LA CUSPIDE MV. QUELLE SOLUTION EST ENVISAGEABLE POUR RENOUVELER L’OBTURATION ?,"A. Remplacer la restauration par une restauration directe en résine composite
B. Remplacer la restauration par un inlay en composite
C. Remplacer la restauration par un onlay en céramique
D. Déposer et réaliser une nouvelle obturation à l’amalgame",,,C
"UN PATIENT PRESENTE UNE LESION CARIEUSE PROXIMALE DE FAIBLE VOLUME EN DISTAL DE 15, TRES SOUS-GINGIVALE ET JUXTA OSSEUSE. QUELLE EST LA SOLUTION ENVISAGEABLE POUR TRAITER CETTE LESION ?","A. Après étude du rapport couronne/racine, la possibilité d’une élongation coronaire doit être discutée pour permettre in fine la réalisation d’un composite en technique directe
B. Une remontée de marge en ciment verre-ionomère peut être réalisée pour permettre in fine la réalisation d’un inlay
C. La situation juxta-osseuse impose de réaliser une restauration indirecte périphérique (de type couronne céramo-métallique par exemple)
D. Une remontée de marge en composite sous digue peut être réalisée pour permettre in fine la réalisation d’un inlay",,,A
"EN PRESNECE D'UNE CARIE SI/STA 2.3, QUELLE(S) SONT LA (LES) PROPOSITION(S) EXTACTE(S)?","A. est à l'origine d'un affaiblissement cuspidien
B. entraîne la nécessité d'un recouvrement partiel ou total
C. correspond à une lésion carieuse de taille modérée atteignant le 1/3 médian dentinaire
D. correspond à une lésion carieuse située au niveau inter-proximal",,,"A,D"
CE/FR QRM D45: CONCERNANT LES OBTURATIONS POSTERIEURES EN RESINES COMPOSITES :,"A. En cas de proximité pulpaire, de l’acide polyacrylique peut être utilisé à la place de l’acide orthophosphorique comme agent de mordançage avant la mise en place d’un adhésif
B. En cas d’effraction pulpaire, la mise en place d’un ciment tricalcique peut être indiquée
C. En cas de proximité pulpaire, l’hybridation dentinaire se fait après la mise en place du matériaux de coiffage
D. En cas d’effraction pulpaire, la mise en place d’un CVIMar au contact de la pulpe permet une régénération du rempart odontoblastique",,,"B,C"
QUELLE(S) SONT LA (LES) PROPOSITION(S) EXTACTE(S)?,"A. Le Dycal® (hydroxyde de calcium) est un substitut dentinaire
B. Le composite flow est un substitut dentinaire
C. La Biodentine® est un substitut dentinaire
D. Le CVIMar est un substitut dentinaire",,,"C,D"
VOUS DEVEZ OBTURER DE MANIERE DIRECTE AVEC UN COMPOSITE UNE RESTAURATION OCCLUSO-MESIALE DE MOYENNE ETENDUE  SUR UNE DENT PULPEE DANS UN SECTEUR POSTERIEUR. QUEL MATERIEL VOUS EST NECESSAIRE ?,"A. Un système de matrice sectorielle
B. Deux coins de bois
C. Un système de matrice circonférentielle
D. Un système adhésif",,,"A,D,E"
VOUS DEVEZ OBTURER DE MANIERE DIRECTE AVEC UN COMPOSITE UNE RESTAURATION OCCLUSO-MESIALE SUR UNE DENT PULPEE DANS UN SECTEUR POSTERIEUR. QUEL MATERIEL VOUS EST ABSOLUMENT NECESSAIRE ?,"A. Des fraises rondes carbure de tungstène
B. Des fraises de polissage bague rouge
C. Des fraises de polissage bague noire
D. Un fouloir rond",,,"B,D,E"
"CONCERNANT LA PERFORATION DE LA DIGUE, QUELLE(S) SONT LA (LES) PROPOSITION(S) EXTACTE(S)?","A. Le centrage de la digue est indispensable pour le confort du patient
B. Plus la dent est distale, plus la perforation devra se trouver proche du bord de la feuille de digue
C. Une perforation déchirée est aussi étanche qu’une perforation nette car elle est enserrée par le crampon
D. Il est possible d’adapter le diamètre de la perforation en fonction de la dent",,,"A,D"
POUR DESINFECTER UNE CAVITE AVANT DE REALISER UNE OBTURATION VOUS CHOISISSEZ DE LA CHLORHEXIDINE A QUEL POURCENTAGE?,"A. 2%
B. 17%
C. 37%
D. 0,2%",,,A
"SELON VOUS, LA CHLORHEXIDINE EST EFFICACE POUR AMELIORER LE MAINTIEN DE LA COUCHE HYBRIDE POUR LES ADHESIFS DE QUEL TYPE?","A. MR III
B. MR II
C. SAM II
D. SAM I",,,"A,B"
" CONCERNANT LA MISE EN PLACE DU CHAMP OPERATOIRE, QUELLE(S) SONT LA (LES) PROPOSITION(S) EXTACTE(S)?","A. Lors de la réalisation d’un composite MOD sur une molaire, la mise en place d’une digue sectorielle est toujours recommandée
B. L’utilisation d’une digue fine est à privilégier lors de la mise en place d’une digue sectorielle
C. L’utilisation de la technique « parachute » est plus indiquée que la technique « avec ailettes » pour la mise en place du champ opératoire sur des incisives
D. Il permet d’améliorer le contraste visuel entre la dent à restaurer et son environnement",,,"A,D"
"CONCERNANT LA POSE D’UN CHAMP OPERATOIRE AVANT REALISATION D’UN COMPOSITE OD SUR 36, QUELLE(S) SONT LA (LES) PROPOSITION(S) EXTACTE(S)?","A. Vous pouvez poser un champ opératoire unitaire sur 36
B. Vous pouvez poser un champ opératoire sectoriel de 36 à 35, avec un crampon sur 36 et un wedjet en mésial de 35
C. Vous pouvez poser un champ opératoire sectoriel de 36 à 34, avec un crampon sur 36 et un wedjet en mésial de 34
D. Vous pouvez poser un champ opératoire sectoriel de 37 à 34, avec un crampon sur 37 et un wedjet en mésial de 34",,,D
"Après curetage, pour une dent antérieure quelle finition est recommandé pour l’angle cavo superficiel dans l’indication d’un composite ?","A. Angle à 90°
B. Biseau long
C. Biseau court à 45°
D. Chanfrein (Quart de rond limité à l’émail)",,,"B,D"
"Après curetage, et pour une dent postérieure quelle finition est recommandé pour l’angle cavo superficiel pour un ciment verre ionomère ?","A. Angle à 90°
B. Biseau long
C. Biseau court à 45°
D. Chanfrein (Quart de rond limité à l’émail)",,,A
QUEL ACCES EST POSSIBLE POUR UNE LESION CARIEUSE PROXIMALE :,"A. Une cavité tunnel
B. Une cavité gouttière
C. Une cavité occluso-proximale
D. Une cavité avec abord occlusal limité à la crête marginale",,,"A,B,D"
"CONCERNANT LES OBTURATIONS POSTERIEURES EN RESINES COMPOSITES, QUELLE(S) SONT LA (LES) PROPOSITION(S) EXTACTE(S)?","A. Dans la mesure du possible, la stratification doit se faire de manière centrifuge
B. Une cavité occluso-mésiale possède un facteur de configuration plus défavorable à celui d’une cavité occlusale
C. La stratification incrémentale oblique permet de limiter les effets néfastes de la contraction de prise des résines composites
D. . Une cavité occlusale possède un facteur de configuration plus favorable que celui de la reconstruction d’une cuspide fracturée",,,C
"CONCERNANT LES OBTURATIONS POSTERIEURES EN RESINES COMPOSITES,, QUELLE(S) SONT LA (LES) PROPOSITION(S) EXTACTE(S)?","A. Elles ne se contractent pas à la polymérisation contrairement aux obturations en ciment verre-ionomère.
B. Il est plus aisé d’obtenir une zone de contact satisfaisante comparé aux obturations à l’amalgame
C. Elles favorisent l’économie tissulaire lors de la préparation
D. Elles sont plus rapides à réaliser que les obturations à l’amalgame",,,C
"TROIS SEMAINES APRES LA REALISATION D’UN COMPOSITE OCCLUSAL SUR 37, UN PATIENT SE PLAINT DE SENSIBILITES A LA MASTICATION. QUELLES PEUVENT ETRE LA CAUSE DE CES SENSIBILITES ?","A. Ne pas avoir placé de composite fluide en substitut dentinaire
B. Un composite stratifié sans tenir compte du facteur C
C. Un sur-mordançage de la dentine lors de la réalisation du composite
D. Un adhésif pas assez frotté sur la dentine",,,"B,C,D"
"CONCERNANT LES OBTURATIONS POSTERIEURES EN RESINES COMPOSITES, QUELLE(S) SONT LA (LES) PROPOSITION(S) EXTACTE(S)?","A. L’application d’acide orthophosphorique sur la dentine doit se faire en frottant pour permettre l’évaporation des solvants
B. Quel que soit le système adhésif utilisé, il doit être polymérisé avant de stratifier un composite en méthode directe
C. La dentine doit être mordancée au minimum 10 à 15 seconde pour déminéraliser suffisamment de fibres de collagène
D. Autre réponse",,,B
"LORS DE L’ETAPE DE FINITION VESTIBULAIRE DES COMPOSITES ANTERIEURS,, QUELLE(S) SONT LA (LES) PROPOSITION(S) EXTACTE(S)?","A. Des fraises puis des polissoirs de granulométrie croissante sont utilisés
B. Les disques solfex®/pop-on® peuvent être utilisés à l’extérieur (versant proximal) des lignes de transition
C. Il n’est pas recommandé d’utiliser des disques solfex®/pop-on® à l’intérieur (versant vestibulaire) des lignes de transition chez un patient jeune
D. Une lame de bistouri courbe peut être utilisée à l’extérieur (versant proximal) des lignes de transition",,,"B,C,D"
"LORS DE LA REALISATION D’UN INLAY/ONLAY, QUELLES SONT LES PROPOSITIONS EXACTES CONCERNANT LES REMONTES DE MARGE?","A. Elles permettent d’élargir les indications des restaurations partielles collées
B. Elles sont réalisées systématiquement lors de la préparation d’un inlay/onlay
C. Elles peuvent être réalisées en composite ou en CVIMar
D. Elles sont réalisées le jour du collage de l’inlay/onlay, avant l’essayage de la pièce",,,"A,C"
"CONCERNANT LES INLAYS EN RESINES COMPOSITES, QUELLE(S) SONT LA (LES) PROPOSITION(S) EXTACTE(S)?","A. Le fait de pouvoir les sceller (avec des ciments verre-ionomère de scellement type Fuji-plus®) améliore considérablement leur longévité en bouche
B. Un sablage de l’intrados avec des particules d’oxyde d’alumine est fortement recommandé lors du collage de l’inlay
C. Ils ne permettent pas de réaliser une zone de contact proximale physiologique comme le permet les composites réalisés en technique directe
D. Ils ne sont pas réparables en bouche",,,B
"LORS DU COLLAGE DES INLAYS/ONLAYS, QUELLE(S) SONT LA (LES) PROPOSITION(S) EXTACTE(S)?","A. La vérification et l’ajustage de l’occlusion à l’aide de papier d’occlusion doit se faire après le collage
B. La vérification et l’ajustage des zones de contact proximales doivent se faire lors de l’essayage de la pièce avant le collage
C. La vérification et l’ajustage des zones de contact proximales doivent se faire après le collage
D. La vérification et l’ajustage de l’occlusion à l’aide de papier d’occlusion doit se faire lors de l’essayage de la pièce avant le collage",,,"A,B"
"LORS DE LA REALISATION RESTAURATIONS ANTERIEURES EN RESINES COMPOSITES, VOUS DEVEZ VEILLER A CE QUE :","A. Les lignes de transition soient symétriques entre une dent et son homologue du quadrant adjacent (ex : entre 11 et 21)
B. Les embrasures occlusales soient croissantes en taille plus l’espace interdentaire est distal
C. Les lignes de transition soient symétriques sur une même dent (ex : 21 mésial et 21 distal)
D. Les zones de contact proximales soient décroissantes en taille plus l’espace interdentaire est distal",,,"A,B,D"
"LORS DE LA RECONSTRUCTION DE LA FACE OCCLUSALE DE 26 EN COMPOSITE, QUELLE(S) SONT LA (LES) PROPOSITION(S) EXTACTE(S)?","A. Les fossettes marginales sont réalisées à distance de la zone de contact proximale afin de pouvoir reconstituer les crêtes marginales
B. Chaque cuspide est constituée de 2 pans et de 4 versants
C. Le pont d’émail relie la cupide mésio-palatine à la cuspide disto-vestibulaire
D. Le pont d’émail relie la cuspide mésio-vestibulaire à la cuspide disto-palatine",,,"A,C"
"LORS DE LA RESTAURATION D’UNE LESION CERVICALE DE 24 EN COMPOSITE, QUELLE(S) SONT LA (LES) PROPOSITION(S) EXTACTE(S)?","A. Il existe 3 orientations de la face vestibulaire dans zone du collet
B. Il existe 2 orientations de la face vestibulaire dans la zone du collet
C. Le bombé vestibulaire résulte du changement d’orientation
D. Le bombé vestibulaire doit être aplani pour faciliter l’hygiène",,,"B,C"
"CONCERNANT LA REALISATION D’UNE OBTURATION POSTERIEURE EN RESINE COMPOSITE DANS LE CAS D’UNE CAVITE SOUS-GINGIVALE, QUELLE(S) SONT LA (LES) PROPOSITION(S) EXTACTE(S)?","A. La réalisation d’une technique sandwich fermé (CVIMar/composite) permet de restaurer plus facilement la dent
B. Un champ opératoire parfaitement étanche est indispensable avant la mise en place d’une résine composite
C. La réalisation du matriçage de la cavité peut aider à parfaire l’étanchéité du champs opératoire
D. Il ne s’agit pas d’une contre-indication absolue à la mise en place d’une résine composite",,,"B,C,D"
"CONCERNANT LES RESTAURATIONS PAR TECHNIQUE SANDWICH, QUELLE(S) SONT LA (LES) PROPOSITION(S) EXTACTE(S)?","A. L’application d’acide polyacrylique augmente les valeurs d’adhésion du CVI.
B. Il n’est pas nécessaire de rincer l’acide polyacrylique avant de mettre en place le CVI.
C. Un CVIMAR parait plus adapté qu’un CVI pour la réalisation d’une technique sandwich ouvert.
D. Il faut mettre en place le CVI en plusieurs apports. """,,,"A,C"
"CONCERNANT LES RESTAURATIONS PAR TECHNIQUE SANDWICH, QUELLE(S) SONT LA (LES) PROPOSITION(S) EXTACTE(S)?","A. La technique « sandwich ouvert » est particulièrement indiquée pour les cavités proximales de volume moyen à important, lorsque l’émail cervical est absent.
B. Cette technique a montré in vitro des performances d’étanchéité inférieures à celles de la technique composite simple.
C. Cette technique présente une tolérance à la manipulation lorsqu’elle est mise en œuvre par des praticiens inexpérimentés.
D. La résine composite doit être apportée par incréments de petit volume dans la cavité.",,,"A,C,D"
" UN PATIENT SE PRESENTE AVEC UNE LESION CARIEUSE DE GROS VOLUME, SUR UNE MOLAIRE MANDIBULAIRE. LA DENT EST SENSIBLE AU FROID ET LA DOULEUR CESSE A L’ARRET DU STIMULUS. APRES ANESTHESIE, QU’UTILISEZ-VOUS POUR ELIMINER L’EMAIL VOUS PERMETTANT AINSI D’ATTEINDRE LA DENTINE DEMINERALISEE ?","A. Une fraise diamantée montée sur turbine ou contre-angle à haute vitesse
B. Une fraise diamantée montée sur contre-angle
C. Un insert ultra-sonore
D. Une fraise en carbure de tungstène montée sur turbine",,,"A,C,F"
" UN PATIENT SE PRESENTE AVEC UNE LESION CARIEUSE DE GROS VOLUME, SUR UNE MOLAIRE MANDIBULAIRE. LA DENT EST SENSIBLE AU FROID ET LA DOULEUR CESSE A L’ARRET DU STIMULUS. APRES ANESTHESIE, QU’UTILISEZ-VOUS POUR ELIMINER LA DENTINE DEMINERALISEE ?","A. Une fraise diamantée montée sur turbine
B. Une fraise diamantée montée sur contre-angle
C. Une fraise en céramique montée sur contre-angle
D. Une fraise en polymère montée sur contre-angle",,,"C,D,E,G"
"LORS DU TRAITEMENT D'UNE REPRISE CARIEUSE PROXIMALE SUR UNE DENT DEPULPEE, QUE VOUS CHOISISSEZ D'OBTURER AVEC UNE RESTAURATION DIRECTE, QUELLE(S) SONT LA (LES) PROPOSITION(S) EXTACTE(S)?","A. L'anésthesie locale est inutile
B. Lanesthésie locale est nécessaire
C. Le spray est inutile lors de la finition de la cavité
D. Le curetage peut être plus appuyé",,,B
"CONCERNANT LA  RESTAURATION DES DENTS DEPULPEES PAR RESTAURATION PARTIELLE COLLEE (RPC), QUELLE(S) SONT LA (LES) PROPOSITION(S) EXTACTE(S)?","A. La cuisson d’un inlay-onlay en composite permet d’augmenter les propriétés mécaniques de celui-ci.
B. La cuisson d’un inlay-onlay en composite permet d’augmenter la contraction de prise du composite.
C. Les cellules épithéliales sont capables d’adhérer à la céramique, offrant une véritable bio-intégration aux restaurations adhésives collées.
D. Les restaurations partielles collées impliquent un recouvrement corono-périphérique complet de la dent.",,,"A,C,E,F"
"AU SUJET DES CARACTERISTIQUES DE LA DENT DEPULPEE, QUELLE(S) SONT LA (LES) PROPOSITION(S) EXTACTE(S)?","A. La dentine d’une dent non vitale est intrinsèquement plus fragile que celle d’une dent pulpée.
B. La résistance biomécanique d’une dent est réduite proportionnellement à sa perte de substance coronaire.
C. La restauration d'une dent dépulpée a pour but d'optimiser l'étanchéité, de préserver et de consolider les structures dentaires.
D. La mise en place d’un tenon améliore la résistance de la dent dépulpée",,,"B,C"
"AU SUJET DU CHOIX DE MATERIAUX POUR UNE DENT DEPULPEE, QUELLE(S) SONT LA (LES) PROPOSITION(S) EXTACTE(S)?","A. La forme de la cavité de restauration doit être standardisée par rapport au matériau choisi pour la restauration.
B. La forme de la cavité de restauration est déterminée par la technique de restauration (directe ou indirecte) choisie.
C. L’absence des deux crêtes marginales va être un critère de choix pour la restauration de la dent dépulpée.
D. Une limite sous gingivale va contre indiquer une restauration directe par matériau(x) inséré(s) en phase plastique.",,,"B,C"
UNE PERTE DE CRETE MARGINALE ENTRAINE UNE DIMINUTION DES PROPRIETES BIOMECANIQUES D’UNE DENT DE :,"A. 10%
B. 30%
C. 50%
D. 70%",,,B
UNE DENT POSTERIEURE PEUT ËTRE RESTAUREE EN MÉTHODE DIRECTE SI ET SEULEMENT SI ELLE POSSÈDE COMBIEN DE PAROIS?,"A. 4 parois
B. 3 parois
C. 2 parois
D. 1 parois",,,A
QUEL MATERIAU DOIT ËTRE UTILISÉ POUR RESTAURER UNE DENT DÉPULPÉE EN METHODE DIRECTE?,"A. Du composite
B. De l'amalgame
C. Du ciment verre ionomère (CVI)
D. Du CVI et du composite en sandwich fermé",,,"A,D"
"AU SUJET DE LA PREPARATION POUR RECONSTITUTION PARTIELLE COLLEE, QUELLE(S) SONT LA (LES) PROPOSITION(S) EXTACTE(S)?","A. Les limites de la préparation doivent se situer au niveau dentinaire pour optimiser la qualité du joint de collage.
B. Au niveau caméral, un substitut dentinaire, type composite fluide, peut être utilisé pour combler les contre-dépouilles tout en amortissant les contraintes.
C. Pour une RPC, les angles internes doivent être arrondis et l’épaisseur des parois résiduelles doit être supérieure à 2 mm.
D. Une remontée de marge est absolument systématique",,,"B,C"
"VOUS AVEZ EFFECTUE UN TRAITEMENT ENDODONTIQUE SUR UNE 36 CHEZ UN PATIENT A LA SUITE D’UNE NECROSE PULPAIRE. VOUS INDIQUEZ UNE RESTAURATION PAR ENDOCOURONNE., QUELLE(S) SONT LA (LES) PROPOSITION(S) EXTACTE(S)?","A. La surface de collage offerte par l’exploitation du volume de la chambre pulpaire dans le cas d’une endocouronne est inférieure à celle obtenue lors du collage d’un ancrage radiculaire.
B. Une préparation de type « butt margin » est indiquée
C. Une préparation périphérique peut être indiquée
D. Étant donné la restauration vous effectuez un collage sans digue avec une colle auto-adhésive",,,"B,C"
"AU SUJET DU TRAITEMENT RESTAURATEUR DE LA DENT DEPULPEE, QUELLE(S) SONT LA (LES) PROPOSITION(S) EXTACTE(S)?","A. Le recours aux restaurations partielles collées permet de limiter au maximum l’élimination des tissus sains persistants.
B. Une RPC peut être réalisée en une séance et permet de limiter les risques de (re)contamination bactérienne du système endocanalaire.
C. Une évaluation parodontale, fonctionnelle et endodontique est nécessaire avant de poser une indication de RP",,,"A,B,C"
"AU SUJET DU CHOIX DE MATERIAU POUR UNE DENT DEPULPEE, QUELLE(S) SONT LA (LES) PROPOSITION(S) EXTACTE(S)?","A. Le coefficient de dilatation thermique des composites est environ 3 fois plus grand que celui de la dentine.
B. La conductivité thermique du composite est très élevée
C. Une restauration adhésive en céramique (RAC) sera indiquée en cas de nécessité d’un recouvrement cuspidien.
D. Les dents restaurées par une RPC montrent une meilleure résistance à la fracture que celles restaurées par composite direct ou amalgame.",,,"A,C,D"
"AU SUJET DES RESTAURATIONS DIRECTES, QUELLE(S) SONT LA (LES) PROPOSITION(S) EXTACTE(S)?","A. Elles sont indiquées lorsque la perte de substance intéresse uniquement la cavité d’accès et également en présence d’une perte de substance de moyenne étendue.
B. L’âge du patient est un facteur à prendre en compte dans le choix d’une restauration directe d’une dent dépulpée.
C. L’occlusion du patient est un facteur à prendre en compte dans le choix d’une restauration directe d’une dent dépulpée.
D. Actuellement, pour une restauration directe, le matériau présentant les meilleures qualités physico-chimiques, mécaniques et esthétiques est le composite.",,,"A,C,D"
QUEL MATERIAU DOIT ËTRE UTILISÉ POUR RESTAURER UNE DENT DÉPULPÉE EN METHODE INDIRECTE,"A. Du composite polymérisé
B. De la céramique
C. Un matériau hybride composite - céramique
D. De la résine PMMA",,,"B,C,E"
"CONCERNANT LE MATRIÇAGE, QUELLE(S) SONT LA (LES) PROPOSITION(S) EXTACTE(S)?","A. Les systèmes de matriçage conçus pour les obturations à l’amalgame (type Apis®, Nyström®…) ne doivent pas être utilisés pour réaliser des obturations en résine composite
B. Le brunissage des matrices circonférentielles est important pour garantir un contact interdentaire satisfaisant
C. Le brunissage des matrices partielles utilisées avec un anneau de Mc Kean est important pour garantir un contact interdentaire satisfaisant
D. Le matriçage doit systématiquement être réalisé après la mise en place du champs opératoire",,,B
"PARMI LES PROPOSITIONS SUIVANTES, QUELLE(S) EST/SONT LE/LES FACTEUR(S) POUVANT INFLUENCER LE CHOIX D’UN SYSTEME DE MATRIÇAGE :","A. La perte d’une cuspide
B. La configuration de la cavité (occluso-mésiale, cervicale…)
C. La situation par rapport à la gencive adjacente (supra-juxta- sous sous-gingivale)
D. La proximité avec la pulpe",,,"A,B,C"
QUELLE(S) SONT LA (LES) PROPOSITION(S) EXTACTE(S)?,"A. Le diamètre du maître-cône correspond toujours au diamètre du dernier finishing-file utilisé.
B. Lors de l’essayage, le maître-cône doit présenter un verrou apical (=tug back).
C. Dans le système ProTaper© Universal, le choix du maître-cône (jaune, rouge) dépend du dernier finishing file utilisé.
D. Le maître-cône doit atteindre la LT, mais ne doit pas pouvoir être inséré au-delà.
E. Autre réponse",,,"B,C,D"
